id,id_category,name,id_brand
291,23,STEEL 1780 25 cm Non-stick Frying Pan - Copper,84
292,23,STEEL Diamond 1248FECAY 2-piece Non-stick Frying Pan Set - Brown & Silver,84
293,23,Retro 5-piece Non-stick Pan Set - Blue,25
294,23,Retro SWPS5020BN 5-piece Non-Stick Pan Set - Black,25
295,23,Retro SWPS3020GN 3-piece Non-Stick Saucepan Set - Green,25
296,23,Retro 5-piece Non-stick Pan Set - Cream,25
297,23,STEEL Stackmaster 2874 10-piece Non-stick Pan Set - Copper,84
298,23,Retro SWPS5020RN 5-piece Non-Stick Pan Set - Red,25
299,23,Retro SWPS3020BN 3-piece Non-Stick Saucepan Set - Black,25
300,23,Retro 2-piece Non-stick Frying Pan Set - Blue,25
301,23,Retro SWPS3020PN 3-piece Non-stick Saucepan Set - Pink,25
302,24,Photoshop Elements 2022,91
303,24,Photoshop Elements 2022 & Premiere Elements 2022,91
304,24,Photoshop Elements 2022 & Premiere Elements 2022 - Student & Teacher Edition,91
305,24,Platinum Unlimited 2020 - Lifetime for 1 user,90
306,24,Creative Cloud Photography Plan - 1 year for 1 user,91
307,24,PowerDVD 17 Ultra,92
308,24,Premiere Elements 2022,91
309,24,PaintShop Pro 2020 Ultimate Mini Box,89
310,24,Burn Express 4,90
311,24,Pinnacle Studio 23 Standard,89
312,24,"Creative Cloud - Student & Teacher Edition, 1 Year",91
313,24,Video Premium 3,90
314,24,Pinnacle Studio 23 Ultimate,89
315,24,PaintShop Pro 2020 Mini Box,89
316,24,Pinnacle Studio 21 Plus,89
317,24,Pinnacle Studio 21 Standard 2018,89
318,24,Platinum 365 2020 - 1 year for 1 user,90
319,26,12L Low Energy Dehumidifier & Air Purifier,94
320,26,L20DH19 Dehumidifier,10
321,26,HOBBS RHDH1001 Portable Dehumidifier,6
322,26,COL1485 Dehumidifier,96
323,26,HOBBS RHDH1061B Portable Dehumidifier,6
324,26,MeacoDry ABC10L 10L Portable Dehumidifier - Silver & White,94
325,26,Tag 2 DXHU15UK Humidifier,99
326,26,RHDH2002 Portable Dehumidifier,100
327,26,HOBBS RHDH1061G Portable Dehumidifier,6
328,26,MeacoDry ABC12LS Dehumidifier,94
329,26,COL1382 Dehumidifier,96
