id_parameter,name,unit
671,Single temperature zone,
672,Temperature range:,
673,Fixed hinge,
674,141 FPS when playing Fortnite at 1080p,
675,AMD Ryzen 7 5800X Processor,
676,Intelu00ae Coreu2122 i7-12700 Processor,
677,Intelu00ae Coreu2122 i5-11400F Processor,
678,244 FPS when playing Fortnite at 1080p,
679,360 FPS when playing Fortnite at 1080p,
680,Unlocked Intelu00ae Coreu2122 i7-11700K Processor,
681,AMD Ryzen 5 5600X Processor,
682,Intelu00ae Coreu2122 i7-11700F Processor,
683,AMD Ryzen 7 5800 Processor,
684,Graphics:,
685,290 FPS when playing Fortnite at 1080p,
686,191 FPS when playing Fortnite at 1080p,
687,303 FPS when playing Fortnite at 1080p,
688,271 FPS when playing Fortnite at 1080p,
689,Intelu00ae Coreu2122 i5-12400 Processor,
690,RAM:,
691,AMD Ryzen 7 5700G Processor,
692,Intelu00ae Coreu2122 i7-11700 Processor,
693,267 FPS when playing Fortnite at 1080p,
694,343 FPS when playing Fortnite at 1080p,
695,329 FPS when playing Fortnite at 1080p,
696,346 FPS when playing Fortnite at 1080p,
697,AMD Ryzen 5 3600 Processor,
698,368 FPS when playing Fortnite at 1080p,
699,289 FPS when playing Fortnite at 1080p,
700,258 FPS when playing Fortnite at 1080p,
701,Intelu00ae Coreu2122 i3-10100F Processor,
702,255 FPS when playing Fortnite at 1080p,
703,Foam padded backrest & seat,
704,Materials:,
705,Fabric,
706,Adjustable height,
707,Neck & lumbar support pillows,
709,Adjustable arms & back,
710,Adjustable height / arms / back,
711,Alcantara,
712,Self assembly required,
714,Compatible with gaming steering wheels & pedals,
715,Built-in cable management,
716,Powder coated steel & leather,
717,Extra padded armrests,
718,Adjustable height & back,
719,Breathable material,
720,Polyurethane & leatherette,
721,Faux leather,
722,PVC,
725,Adjustable back & head supports,
727,Compatible with PC,
728,Capture from HDMI / DVI / VGA / Component video,
729,Streaming ready,
730,Max resolution:,
731,Sharpened steel blade & adjustable cut length,
732,Foldable Ergoflex handle,
733,Rechargeable battery:,
734,Blade length:,
735,Foldable handle,
736,Shredding function,
737,Cutting system:,
738,Includes collection bag,
739,Collection capacity:,
740,Weight:,
742,Ergoflex handle,
744,Plant protector,
745,Blade speed:,
746,Airflow speed:,
747,Adjustable cut length,
748,Mains powered,
749,Cutting diameter:,
750,Cutting area:,
751,16 GB GDDR6,
752,HDMI / DisplayPort,
754,12 GB GDDR6X,
755,8 GB GDDR6,
756,12 GB GDDR6,
757,4 GB GDDR6,
759,8 GB GDDR6X,
760,Stream processors:,
761,Clock speed:,
762,Bandwidth:,
763,CUDA cores:,
764,6 GB GDDR6,
765,10 GB GDDR6X,
766,Ambidextrous design,
767,4 customisable keys,
768,8 ExpressKeys,
769,Active area:,
770,Precision level:,
771,With tilt sensitivity,
772,2.5 m cord,
773,8 heat settings,
774,2.7 m cord,
775,2 heat settings,
777,Includes gift case,
778,Ionic technology,
780,Intelligent heat control,
781,4 heat settings,
782,6 speed settings,
784,3 temperature settings,
785,2 speed settings,
786,2.6 m cord,
787,Powerful digital motor in handle,
788,7 speed settings,
789,1.8 m cord,
790,Magnetic attachments,
791,3 m cord,
792,Ionic & Ceramic technology,
793,5 temperature settings,
794,Uses air to style & wrap hair,
795,Flexing plate technology lets you style using less heat,
797,Style & dry at the same time,
798,Suitable for all hair types,
799,6 styling accessories included,
800,30 temperature settings,
801,Maximum temperature:,
802,Heating time:,
804,8 temperature settings,
805,9 temperature settings,
807,Includes charging cable / dock / travel pouch,
809,OLED display,
812,Suitable for all hair types with 3 heat settings,
813,10 temperature settings,
814,Automatic shut-off,
816,Digital display,
817,Up to 30 minutes of cordless styling or use corded,
818,Wave / curl / smooth / dry,
819,Perfect for exercise & fitness,
820,Microphone / remote / volume control,
821,iOS compatible,
822,Perfect for entertainment,
823,Works with Amazon Alexa / Google Assistant,
824,Adjustable active noise-cancelling,
825,True wireless,
826,Microphone / volume / playback & functions control,
827,Water / sweat resistant,
828,Perfect for working & studying,
829,Works with Siri / Google Assistant,
830,Passive noise-isolating,
831,Microphone / playback & functions control,
832,Works with Siri,
833,Microphone / volume control,
834,In-ear headphones,
836,Water & sweat resistant,
837,Works with Siri / Google Assistant / Amazon Alexa,
838,Over-ear headphones,
839,Perfect for commuting & travel,
840,iOS / Android compatible,
841,Compatible with PC / Mac,
842,Controls on earcup,
843,Cardioid pickup pattern,
845,Cardioid / omni-directional / bi-directional recording patterns,
846,Tripod stand,
847,In-line volume control,
848,Skype compatible,
849,Compatible with Mac & PC,
850,Compatible with PC / Mac / consoles,
851,Auto-mute,
852,Integrated stand,
853,Eliminates external noise,
854,Cardioid / omni-directional recording patterns,
855,Connectivity:,
856,Adjustable stand,
857,2.0 sound,
858,Compatible with Bluetooth-enabled devices,
859,Noise-cancelling microphone,
860,Universally compatible,
861,Broadcast boom arm stand,
862,Built-in shock absorber,
863,Compatible with Windows / Mac / PS4 / PS5,
864,Cardioid recording pattern,
865,Compatible with mobile devices & tablets,
868,Touch controls,
869,RGB LED lighting,
871,Compatible with PC & consoles & mobile devices,
872,Compatible with PC / Mac / PS4 / PS5 / Switch & mobile devices,
874,LED lighting,
875,Compatible with PS4 / PS5,
876,Compatible with PC / PS4 / PS5 / mobile devices,
877,Compatible with PC / PS4 / PS5,
879,Compatible with PC / PS5,
881,Virtual surround sound,
882,Compatible with PC / Mac / PS4 / PS5,
883,True surround sound,
884,Compatible with PC / PS4 / PS5 / Switch / Android,
885,In-line volume control & auto-mute,
886,With odour filter,
887,Digital timer,
888,Removable basket,
889,Little to no oil needed,
890,Professional fryer,
891,Food capacity:,
892,Only one spoon of oil needed,
893,Coolwall technology,
894,Easy-clean design,
895,Safety cut-out,
896,Oil capacity:,
898,60 minute timer,
902,9 hour timer,
903,Geolocation function,
904,Adapt the heating to your location via geofencing,
905,Works with Apple HomeKit / Google Assistant / Amazon Alexa,
906,Works with Siri / Amazon Alexa / Google Assistant,
